Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7,Action,Number of Alerts,Sum of alert weights,Reward,Done,Timestamp
True,False,True,True,True,False,False,3,4,14,-60,False,2023-12-17 23:27:07.736575
True,False,True,True,False,False,False,5,3,11,-47,False,2023-12-17 23:27:22.791113
False,False,True,True,False,False,False,1,6,20,-82,False,2023-12-17 23:27:37.852411
False,False,True,True,False,True,False,6,4,14,-59,False,2023-12-17 23:27:52.910469
False,False,True,True,True,True,False,5,2,10,-44,False,2023-12-17 23:28:07.970501
False,False,True,True,False,True,False,5,3,11,-47,False,2023-12-17 23:28:23.035023
False,False,True,True,False,True,True,7,3,11,-48,False,2023-12-17 23:28:38.089467
False,True,True,True,False,True,True,2,2,6,-29,False,2023-12-17 23:28:53.146168
False,True,True,True,False,True,False,7,2,6,-28,False,2023-12-17 23:29:08.207271
True,True,True,True,False,True,False,1,0,0,5,True,2023-12-17 23:29:23.260855
True,False,False,False,False,False,False,1,6,17,-69,False,2023-12-17 23:29:38.319290
True,False,False,False,False,True,False,6,6,17,-70,False,2023-12-17 23:29:53.380822
True,False,False,False,False,True,False,0,3,8,-34,False,2023-12-17 23:30:08.441941
True,False,False,False,False,True,True,7,3,8,-35,False,2023-12-17 23:30:23.497028
True,False,False,False,True,True,True,5,2,7,-32,False,2023-12-17 23:30:38.555246
True,False,False,False,True,True,True,0,2,7,-32,False,2023-12-17 23:30:53.608094
True,False,True,False,True,True,True,3,2,7,-33,False,2023-12-17 23:31:08.662233
True,False,True,True,True,True,True,4,1,5,-26,False,2023-12-17 23:31:23.714199
True,False,True,True,True,False,True,6,1,5,-25,False,2023-12-17 23:31:38.769595
False,False,True,True,True,False,True,1,2,10,-44,False,2023-12-17 23:31:53.829545
False,False,True,True,True,True,True,6,2,10,-45,False,2023-12-17 23:32:08.892308
False,False,True,True,True,True,False,7,2,10,-44,False,2023-12-17 23:32:23.950315
False,False,False,True,True,True,False,3,2,10,-43,False,2023-12-17 23:32:39.004561
False,False,False,True,True,True,False,0,2,10,-43,False,2023-12-17 23:32:54.058286
False,False,True,True,True,True,False,3,2,10,-44,False,2023-12-17 23:33:09.118130
False,False,True,True,True,True,True,7,2,10,-45,False,2023-12-17 23:33:24.179676
False,False,True,True,True,True,True,0,2,10,-45,False,2023-12-17 23:33:39.242137
True,False,True,True,True,True,True,1,1,5,-26,False,2023-12-17 23:33:54.300060
True,False,True,True,True,True,False,7,1,5,-25,False,2023-12-17 23:34:09.359252
