Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7,Action,Number of Alerts,Sum of alert weights,Reward,Done,Timestamp
False,False,False,False,False,False,True,1,4,13,-53,False,2023-12-17 18:17:00.290568
False,False,False,True,False,False,True,4,3,11,-46,False,2023-12-17 18:17:15.358425
False,True,False,True,False,False,True,2,2,6,-27,False,2023-12-17 18:17:30.410360
False,True,True,True,False,False,True,3,2,6,-28,False,2023-12-17 18:17:45.467860
False,True,False,True,False,False,True,3,2,6,-27,False,2023-12-17 18:18:00.525123
False,True,False,True,False,False,False,7,5,15,-62,False,2023-12-17 18:18:15.580306
False,True,False,True,False,False,True,7,2,6,-27,False,2023-12-17 18:18:30.641421
False,False,False,True,False,False,True,2,3,11,-46,False,2023-12-17 18:18:45.719822
False,False,True,True,False,False,True,3,3,11,-47,False,2023-12-17 18:19:00.775012
False,False,True,True,False,True,True,6,3,11,-48,False,2023-12-17 18:19:15.843024
False,False,True,True,False,False,True,6,3,11,-47,False,2023-12-17 18:19:30.902960
False,False,True,True,False,False,True,0,3,11,-47,False,2023-12-17 18:19:45.978350
False,False,True,True,False,False,True,0,3,11,-47,False,2023-12-17 18:20:01.040032
False,False,True,True,False,True,True,6,3,11,-48,False,2023-12-17 18:20:16.113310
False,False,False,True,False,True,True,3,3,11,-47,False,2023-12-17 18:20:31.170031
False,False,False,True,False,True,False,7,3,11,-46,False,2023-12-17 18:20:46.225981
False,True,False,True,False,True,False,2,2,6,-27,False,2023-12-17 18:21:01.282649
False,True,False,True,True,True,False,5,1,5,-24,False,2023-12-17 18:21:16.345336
False,False,False,True,True,True,False,2,2,10,-43,False,2023-12-17 18:21:31.408744
False,False,True,True,True,True,False,3,2,10,-44,False,2023-12-17 18:21:46.487745
False,True,True,True,True,True,False,2,1,5,-25,False,2023-12-17 18:22:01.567272
False,True,True,True,False,True,False,5,2,6,-28,False,2023-12-17 18:22:16.628761
False,True,True,True,False,False,False,6,3,9,-39,False,2023-12-17 18:22:31.723384
False,True,True,True,True,False,False,5,3,11,-48,False,2023-12-17 18:22:46.788937
False,True,True,True,False,False,False,5,4,12,-51,False,2023-12-17 18:23:01.852683
False,True,True,True,False,False,True,7,2,6,-28,False,2023-12-17 18:23:16.906683
False,True,True,False,False,False,True,4,3,8,-35,False,2023-12-17 18:23:31.965886
False,True,False,False,False,False,True,3,3,8,-34,False,2023-12-17 18:23:47.044240
True,True,False,False,False,False,True,1,2,3,-15,False,2023-12-17 18:24:02.113584
True,True,True,False,False,False,True,3,2,3,-16,False,2023-12-17 18:24:17.172370
False,True,True,False,False,False,True,1,3,8,-35,False,2023-12-17 18:24:32.235296
True,True,True,False,False,False,True,1,2,3,-16,False,2023-12-17 18:24:47.291440
True,False,True,False,False,False,True,2,3,8,-35,False,2023-12-17 18:25:02.351371
True,False,True,False,False,True,True,6,3,8,-36,False,2023-12-17 18:25:17.405386
True,False,True,True,False,True,True,4,2,6,-29,False,2023-12-17 18:25:32.461402
